,website_title,all_urls,all_paragraphs
271,,,Tag.insert() returns the list of newly inserted elements.
272,,,"The insert_before() method inserts tags or strings immediately
before something else in the parse tree:"
273,,,"The insert_after() method inserts tags or strings immediately
after something else in the parse tree:"
274,,,Both methods return the list of newly inserted elements.
275,,,Tag.clear() removes the contents of a tag:
276,,,"PageElement.extract() removes a tag or string from the tree. It
returns the tag or string that was extracted:"
277,,,"At this point you effectively have two parse trees: one rooted at the
BeautifulSoup object you used to parse the document, and one rooted
at the tag that was extracted. You can go on to call extract() on
a child of the element you extracted:"
278,,,"Tag.decompose() removes a tag from the tree, then completely
destroys it and its contents:"
279,,,"The behavior of a decomposed Tag or NavigableString is not
defined and you should not use it for anything. If you're not sure
whether something has been decomposed, you can check its
.decomposed property (new in Beautiful Soup 4.9.0):"
280,,,"PageElement.replace_with() extracts a tag or string from the tree,
then replaces it with one or more tags or strings of your choice:"
281,,,"replace_with() returns the tag or string that got replaced, so
that you can examine it or add it back to another part of the tree."
282,,,"The ability to pass multiple arguments into replace_with() is new
in Beautiful Soup 4.10.0."
283,,,"PageElement.wrap() wraps an element in the Tag object you specify. It
returns the new wrapper:"
284,,,This method is new in Beautiful Soup 4.0.5.
285,,,"Tag.unwrap() is the opposite of wrap(). It replaces a tag with
whatever's inside that tag. It's good for stripping out markup:"
286,,,"Like replace_with(), unwrap() returns the tag
that was replaced."
287,,,"After calling a bunch of methods that modify the parse tree, you may end up
with two or more NavigableString objects next to each other.
Beautiful Soup doesn't have any problems with this, but since it can't happen
in a freshly parsed document, you might not expect behavior like the
following:"
288,,,You can call Tag.smooth() to clean up the parse tree by consolidating adjacent strings:
289,,,This method is new in Beautiful Soup 4.8.0.
290,,,"The prettify() method will turn a Beautiful Soup parse tree into a
nicely formatted Unicode string, with a separate line for each
tag and each string:"
291,,,"You can call prettify() on the top-level BeautifulSoup object,
or on any of its Tag objects:"
292,,,"Since it adds whitespace (in the form of newlines), prettify()
changes the meaning of an HTML document and should not be used to
reformat one. The goal of prettify() is to help you visually
understand the structure of the documents you work with."
293,,,"If you just want a string, with no fancy formatting, you can call
str() on a BeautifulSoup object, or on a Tag within it:"
294,,,"The str() function returns a string encoded in UTF-8. See
Encodings for other options."
295,,,"You can also call encode() to get a bytestring, and decode()
to get Unicode."
296,,,"If you give Beautiful Soup a document that contains HTML entities like
""&lquot;"", they'll be converted to Unicode characters:"
297,,,"If you then convert the document to a bytestring, the Unicode characters
will be encoded as UTF-8. You won't get the HTML entities back:"
298,,,"By default, the only characters that are escaped upon output are bare
ampersands and angle brackets. These get turned into ""&amp;"", ""&lt;"",
and ""&gt;"", so that Beautiful Soup doesn't inadvertently generate
invalid HTML or XML:"
299,,,"You can change this behavior by providing a value for the
formatter argument to prettify(), encode(), or
decode(). Beautiful Soup recognizes five possible values for
formatter."
300,,,"The default is formatter=""minimal"". Strings will only be processed
enough to ensure that Beautiful Soup generates valid HTML/XML:"
301,,,"If you pass in formatter=""html"", Beautiful Soup will convert
Unicode characters to HTML entities whenever possible:"
302,,,"If you pass in formatter=""html5"", it's similar to
formatter=""html"", but Beautiful Soup will
omit the closing slash in HTML void tags like ""br"":"
303,,,"In addition, any attributes whose values are the empty string
will become HTML-style Boolean attributes:"
304,,,(This behavior is new as of Beautiful Soup 4.10.0.)
305,,,"If you pass in formatter=None, Beautiful Soup will not modify
strings at all on output. This is the fastest option, but it may lead
to Beautiful Soup generating invalid HTML/XML, as in these examples:"
306,,,"If you need more sophisticated control over your output, you can
instantiate one of Beautiful Soup's formatter classes and pass that
object in as formatter."
307,,,Used to customize the formatting rules for HTML documents.
308,,,"Here's a formatter that converts strings to uppercase, whether they
occur in a string object or an attribute value:"
309,,,Here's a formatter that increases the indentation width when pretty-printing:
310,,,Used to customize the formatting rules for XML documents.
311,,,"Subclassing HTMLFormatter or XMLFormatter will
give you even more control over the output. For example, Beautiful
Soup sorts the attributes in every tag by default:"
312,,,"To turn this off, you can subclass the Formatter.attributes()
method, which controls which attributes are output and in what
order. This implementation also filters out the attribute called ""m""
whenever it appears:"
313,,,"One last caveat: if you create a CData object, the text inside
that object is always presented exactly as it appears, with no
formatting. Beautiful Soup will call your entity substitution
function, just in case you've written a custom function that counts
all the strings in the document or something, but it will ignore the
return value:"
314,,,"If you only want the human-readable text inside a document or tag, you can use the
get_text() method. It returns all the text in a document or
beneath a tag, as a single Unicode string:"
315,,,"You can specify a string to be used to join the bits of text
together:"
316,,,"You can tell Beautiful Soup to strip whitespace from the beginning and
end of each bit of text:"
317,,,"But at that point you might want to use the .stripped_strings
generator instead, and process the text yourself:"
318,,,"As of Beautiful Soup version 4.9.0, when lxml or html.parser are in
use, the contents of <script>, <style>, and <template>
tags are generally not considered to be 'text', since those tags are not part of
the human-visible content of the page."
319,,,"As of Beautiful Soup version 4.10.0, you can call get_text(),
.strings, or .stripped_strings on a NavigableString object. It will
either return the object itself, or nothing, so the only reason to do
this is when you're iterating over a mixed list."
320,,,"As of Beautiful Soup version 4.13.0, you can call .string on a
NavigableString object. It will return the object itself, so again,
the only reason to do this is when you're iterating over a mixed
list."
321,,,"If you just need to parse some HTML, you can dump the markup into the
BeautifulSoup constructor, and it'll probably be fine. Beautiful
Soup will pick a parser for you and parse the data. But there are a
few additional arguments you can pass in to the constructor to change
which parser is used."
322,,,"The first argument to the BeautifulSoup constructor is a string or
an open filehandle—the source of the markup you want parsed. The second
argument is how you'd like the markup parsed."
323,,,"If you don't specify anything, you'll get the best HTML parser that's
installed. Beautiful Soup ranks lxml's parser as being the best, then
html5lib's, then Python's built-in parser. You can override this by
specifying one of the following:"
324,,,"What type of markup you want to parse. Currently supported values are
""html"", ""xml"", and ""html5""."
325,,,"The name of the parser library you want to use. Currently supported
options are ""lxml"", ""html5lib"", and ""html.parser"" (Python's
built-in HTML parser)."
326,,,The section Installing a parser contrasts the supported parsers.
327,,,"If you ask for a parser that isn't installed, Beautiful Soup will
raise an exception so that you don't inadvertently parse a document
under an unknown set of rules. For example, right now, the only
supported XML parser is lxml. If you don't have lxml installed, asking
for an XML parser won't give you one, and asking for ""lxml"" won't work
either."
328,,,"Beautiful Soup presents the same interface to a number of different
parsers, but each parser is different. Different parsers will create
different parse trees from the same document. The biggest differences
are between the HTML parsers and the XML parsers. Here's a short
document, parsed as HTML using the parser that comes with Python:"
329,,,"Since a standalone <b/> tag is not valid HTML, html.parser turns it into
a <b></b> tag pair."
330,,,"Here's the same document parsed as XML (running this requires that you
have lxml installed). Note that the standalone <b/> tag is left alone, and
that the document is given an XML declaration instead of being put
into an <html> tag.:"
331,,,"There are also differences between HTML parsers. If you give Beautiful
Soup a perfectly-formed HTML document, these differences won't
matter. One parser will be faster than another, but they'll all give
you a data structure that looks exactly like the original HTML
document."
332,,,"But if the document is not perfectly-formed, different parsers will
give different results. Here's a short, invalid document parsed using
lxml's HTML parser. Note that the <a> tag gets wrapped in <body> and
<html> tags, and the dangling </p> tag is simply ignored:"
333,,,Here's the same document parsed using html5lib:
334,,,"Instead of ignoring the dangling </p> tag, html5lib pairs it with an
opening <p> tag. html5lib also adds an empty <head> tag; lxml didn't
bother."
335,,,"Here's the same document parsed with Python's built-in HTML
parser:"
336,,,"Like lxml, this parser ignores the closing </p> tag. Unlike
html5lib or lxml, this parser makes no attempt to create a
well-formed HTML document by adding <html> or <body> tags."
337,,,"Since the document ""<a></p>"" is invalid, none of these techniques is
the 'correct' way to handle it. The html5lib parser uses techniques
that are part of the HTML5 standard, so it has the best claim on being
the 'correct' way, but all three techniques are legitimate."
338,,,"Differences between parsers can affect your script. If you're planning
on distributing your script to other people, or running it on multiple
machines, you should specify a parser in the BeautifulSoup
constructor. That will reduce the chances that your users parse a
document differently from the way you parse it."
339,,,"Any HTML or XML document is written in a specific encoding like ASCII
or UTF-8. But when you load that document into Beautiful Soup, you'll
discover it's been converted to Unicode:"
340,,,"It's not magic. (That sure would be nice.) Beautiful Soup uses a
sub-library called Unicode, Dammit to detect a document's encoding
and convert it to Unicode. The autodetected encoding is available as
the .original_encoding attribute of the BeautifulSoup object:"
341,,,"If .original_encoding is None, that means the document was
already Unicode when it was passed into Beautiful Soup:"
342,,,"Unicode, Dammit guesses correctly most of the time, but sometimes it
makes mistakes. Sometimes it guesses correctly, but only after a
byte-by-byte search of the document that takes a very long time. If
you happen to know a document's encoding ahead of time, you can avoid
mistakes and delays by passing it to the BeautifulSoup constructor
as from_encoding."
343,,,"Here's a document written in ISO-8859-8. The document is so short that
Unicode, Dammit can't get a lock on it, and misidentifies it as
ISO-8859-7:"
344,,,We can fix this by passing in the correct from_encoding:
345,,,"If you don't know what the correct encoding is, but you know that
Unicode, Dammit is guessing wrong, you can pass the wrong guesses in
as exclude_encodings:"
346,,,"Windows-1255 isn't 100% correct, but that encoding is a compatible
superset of ISO-8859-8, so it's close enough. (exclude_encodings
is a new feature in Beautiful Soup 4.4.0.)"
347,,,"In rare cases (usually when a UTF-8 document contains text written in
a completely different encoding), the only way to get Unicode may be
to replace some characters with the special Unicode character
""REPLACEMENT CHARACTER"" (U+FFFD, �). If Unicode, Dammit needs to do
this, it will set the .contains_replacement_characters attribute
to True on the UnicodeDammit or BeautifulSoup object. This
lets you know that the Unicode representation is not an exact
representation of the original—some data was lost. If a document
contains �, but .contains_replacement_characters is False,
you'll know that the � was there originally (as it is in this
paragraph) and doesn't stand in for missing data."
348,,,"When you write out an output document from Beautiful Soup, you get a UTF-8
document, even if the input document wasn't in UTF-8 to begin with. Here's a
document written in the Latin-1 encoding:"
349,,,"Note that the <meta> tag has been rewritten to reflect the fact that
the document is now in UTF-8."
350,,,"If you don't want UTF-8, you can pass an encoding into prettify():"
351,,,"You can also call encode() on the BeautifulSoup object, or any
element in the soup, just as if it were a Python string:"
352,,,"Any characters that can't be represented in your chosen encoding will
be converted into numeric XML entity references. Here's a document
that includes the Unicode character SNOWMAN:"
353,,,"The SNOWMAN character can be part of a UTF-8 document (it looks like
☃), but there's no representation for that character in ISO-Latin-1 or
ASCII, so it's converted into ""&#9731"" for those encodings:"
354,,,"You can use Unicode, Dammit without using Beautiful Soup. It's useful
whenever you have data in an unknown encoding and you just want it to
become Unicode:"
355,,,"Unicode, Dammit's guesses will get a lot more accurate if you install
one of these Python libraries: charset-normalizer, chardet, or
cchardet. The more data you give Unicode, Dammit, the more
accurately it will guess. If you have your own suspicions as to what
the encoding might be, you can pass them in as a list:"
356,,,"Unicode, Dammit has two special features that Beautiful Soup doesn't
use."
357,,,"You can use Unicode, Dammit to convert Microsoft smart quotes to HTML or XML
entities:"
358,,,You can also convert Microsoft smart quotes to ASCII quotes:
359,,,"Hopefully you'll find this feature useful, but Beautiful Soup doesn't
use it. Beautiful Soup prefers the default behavior, which is to
convert Microsoft smart quotes to Unicode characters along with
everything else:"
360,,,"Sometimes a document is mostly in UTF-8, but contains Windows-1252
characters such as (again) Microsoft smart quotes. This can happen
when a website includes data from multiple sources. You can use
UnicodeDammit.detwingle() to turn such a document into pure
UTF-8. Here's a simple example:"
361,,,"This document is a mess. The snowmen are in UTF-8 and the quotes are
in Windows-1252. You can display the snowmen or the quotes, but not
both:"
362,,,"Decoding the document as UTF-8 raises a UnicodeDecodeError, and
decoding it as Windows-1252 gives you gibberish. Fortunately,
UnicodeDammit.detwingle() will convert the string to pure UTF-8,
allowing you to decode it to Unicode and display the snowmen and quote
marks simultaneously:"
363,,,"UnicodeDammit.detwingle() only knows how to handle Windows-1252
embedded in UTF-8 (or vice versa, I suppose), but this is the most
common case."
364,,,"Note that you must know to call UnicodeDammit.detwingle() on your
data before passing it into BeautifulSoup or the UnicodeDammit
constructor. Beautiful Soup assumes that a document has a single
encoding, whatever it might be. If you pass it a document that
contains both UTF-8 and Windows-1252, it's likely to think the whole
document is Windows-1252, and the document will come out looking like
â˜ƒâ˜ƒâ˜ƒ“I like snowmen!”."
365,,,UnicodeDammit.detwingle() is new in Beautiful Soup 4.1.0.
366,,,"The html.parser and html5lib parsers can keep track of where in
the original document each Tag was found. You can access this
information as Tag.sourceline (line number) and Tag.sourcepos
(position of the start tag within a line):"
367,,,"Note that the two parsers mean slightly different things by
sourceline and sourcepos. For html.parser, these numbers
represent the position of the initial less-than sign. For html5lib,
these numbers represent the position of the final greater-than sign:"
368,,,"You can shut off this feature by passing store_line_numbers=False
into the BeautifulSoup constructor:"
369,,,"This feature is new in 4.8.1, and the parsers based on lxml don't
support it."
370,,,"Beautiful Soup says that two NavigableString or Tag objects
are equal when they represent the same HTML or XML markup, even if their
attributes are in a different order or they live in different parts of the
object tree. In this example, the two <b> tags are treated as equal, because
they both look like ""<b>pizza</b>"":"
371,,,"If you want to see whether two variables refer to exactly the same
object, use is:"
372,,,"You can use copy.copy() to create a copy of any Tag or
NavigableString:"
373,,,"The copy is considered equal to the original, since it represents the
same markup as the original, but it's not the same object:"
374,,,"The only real difference is that the copy is completely detached from
the original Beautiful Soup object tree, just as if extract() had
been called on it. This is because two different Tag
objects can't occupy the same space at the same time."
375,,,"You can use Tag.copy_self() to create a copy of a
Tag without copying its contents."
376,,,(Tag.copy_self() is introduced in Beautiful Soup 4.13.0.)
377,,,"Almost everyone who uses Beautiful Soup to extract information from a
document can get what they need using the methods described in
Searching the tree. However, there's a lower-level interface that
lets you define any matching behavior you want. Behind the scenes, the
parts of the Beautiful Soup API that most people use--find_all()
and the like—are actually using this low-level interface, and you
can use it directly."
378,,,"(Access to the low-level search interface is a new feature in
Beautiful Soup 4.13.0.)"
379,,,"The ElementFilter class is your entry point to the
low-level interface. To use it, define a function that takes a
PageElement object (which could be either a
Tag or a NavigableString). The function must
return True if the element matches your custom criteria, and
False if it doesn't."
380,,,"This example function looks for content-containing tags and strings,
but skips whitespace-only strings:"
381,,,"Once you have a function, pass it into the ElementFilter constructor:"
382,,,"You can then use this ElementFilter object as the first
argument to any of the Searching the tree methods. Whatever
criteria you defined in your function will be used instead of the
default Beautiful Soup match logic:"
383,,,"Every potential match will be run through your function, and the only
PageElement objects returned will be the ones where your
function returned True."
384,,,"To summarize the function-based matching behaviors,"
385,,,"A function passed as the first argument to a search method
(or equivalently, using the name argument) considers only
Tag objects."
386,,,"A function passed to a search method using the string argument
considers only NavigableString objects."
387,,,"A function passed to a search method using an ElementFilter
object considers both Tag and NavigableString
objects."
388,,,"By passing an ElementFilter instance into Beautiful Soup's
tree-searching methods, you can completely customize what it means for
Beautiful Soup to match an element as it iterates over the parse
tree. By using the ElementFilter.filter() method, you can
also completely customize what it means for Beautiful Soup to iterate
over the parse tree in the first place."
389,,,"The ElementFilter.filter() method takes a generator that yields
a stream of PageElement objects. There is no restriction
on which PageElement objects show up, how many times they
show up, or in which order. Theoretically, they don't even need to be
from the same BeautifulSoup document. You can do whatever
makes sense for you."
390,,,"Here's a silly example: a generator that walks randomly back and forth
through the parse tree:"
391,,,"Pass this generator into the example ElementFilter.filter()
and Beautiful Soup will wander randomly around the parse tree,
applying the non_whitespace_filter function to every element it finds,
and yielding all of the matches—potentially yielding a given object
more than once:"
392,,,"(Note that unlike the other code examples in this documentation, this
example can give different results every time you run it, thanks
to the random element. It's very unlikely, but this function could
wander around the parse tree forever and never complete.)"
393,,,"Beautiful Soup offers a number of ways to customize how the parser
treats incoming HTML and XML. This section covers the most commonly
used customization techniques."
394,,,"Let's say you want to use Beautiful Soup to look at a document's <a>
tags. It's a waste of time and memory to parse the entire document and
then go over it again looking for <a> tags. It would be much faster to
ignore everything that wasn't an <a> tag in the first place. The
SoupStrainer class allows you to choose which parts of an incoming
document are parsed. You just create a SoupStrainer and pass it in
to the BeautifulSoup constructor as the parse_only argument."
395,,,"(Note that this feature won't work if you're using the html5lib parser.
If you use html5lib, the whole document will be parsed, no
matter what. This is because html5lib constantly rearranges the parse
tree as it works, and if some part of the document didn't actually
make it into the parse tree, it'll crash. To avoid confusion, in the
examples below I'll be forcing Beautiful Soup to use Python's
built-in parser.)"
396,,,"The SoupStrainer class takes the same arguments as a typical
method from Searching the tree: name, attrs, string, and **kwargs. Here are
three SoupStrainer objects:"
397,,,"I'm going to bring back the ""three sisters"" document one more time,
and we'll see what the document looks like when it's parsed with these
three SoupStrainer objects:"
398,,,The SoupStrainer behavior is as follows:
399,,,"When a tag matches, it is kept (including all its contents, whether they also
match or not)."
400,,,"When a tag does not match, the tag itself is not kept, but parsing continues
into its contents to look for other tags that do match."
401,,,"In an HTML document, an attribute like class is given a list of
values, and an attribute like id is given a single value, because
the HTML specification treats those attributes differently:"
402,,,"You can turn this off by passing in
multi_valued_attributes=None. Than all attributes will be given a
single value:"
403,,,"You can customize this behavior quite a bit by passing in a
dictionary for multi_valued_attributes. If you need this, look at
HTMLTreeBuilder.DEFAULT_CDATA_LIST_ATTRIBUTES to see the
configuration Beautiful Soup uses by default, which is based on the
HTML specification."
404,,,(This is a new feature in Beautiful Soup 4.8.0.)
405,,,"When using the html.parser parser, you can use the
on_duplicate_attribute constructor argument to customize what
Beautiful Soup does when it encounters a tag that defines the same
attribute more than once:"
406,,,The default behavior is to use the last value found for the tag:
407,,,"With on_duplicate_attribute='ignore' you can tell Beautiful Soup
to use the first value found and ignore the rest:"
408,,,"(lxml and html5lib always do it this way; their behavior can't be
configured from within Beautiful Soup.)"
409,,,"If you need more control, you can pass in a function that's called on each
duplicate value:"
410,,,(This is a new feature in Beautiful Soup 4.9.1.)
411,,,"When a parser tells Beautiful Soup about a tag or a string, Beautiful
Soup will instantiate a Tag or NavigableString object to
contain that information. Instead of that default behavior, you can
tell Beautiful Soup to instantiate subclasses of Tag or
NavigableString, subclasses you define with custom behavior:"
412,,,"This can be useful when incorporating Beautiful Soup into a test
framework."
413,,,(This is a new feature in Beautiful Soup 4.8.1.)
414,,,"If you're having trouble understanding what Beautiful Soup does to a
document, pass the document into the diagnose() function. (This function is new in
Beautiful Soup 4.2.0.) Beautiful Soup will print out a report showing
you how different parsers handle the document, and tell you if you're
missing a parser that Beautiful Soup could be using:"
415,,,"Just looking at the output of diagnose() might show you how to solve the
problem. Even if not, you can paste the output of diagnose() when
asking for help."
416,,,"There are two different kinds of parse errors. There are crashes,
where you feed a document to Beautiful Soup and it raises an
exception (usually an HTMLParser.HTMLParseError). And there is
unexpected behavior, where a Beautiful Soup parse tree looks a lot
different than the document used to create it."
417,,,"These problems are almost never problems with Beautiful Soup itself.
This is not because Beautiful Soup is an amazingly well-written piece
of software. It's because Beautiful Soup doesn't include any parsing
code. Instead, it relies on external parsers. If one parser isn't
working on a certain document, the best solution is to try a different
parser. See Installing a parser for details and a parser
comparison. If this doesn't help, you might need to inspect the
document tree found inside the BeautifulSoup object, to see where
the markup you're looking for actually ended up."
418,,,"SyntaxError: Invalid syntax (on the line ROOT_TAG_NAME =
'[document]'): Caused by running an old Python 2 version of
Beautiful Soup under Python 3, without converting the code."
419,,,"ImportError: No module named HTMLParser - Caused by running an old
Python 2 version of Beautiful Soup under Python 3."
420,,,"ImportError: No module named html.parser - Caused by running the
Python 3 version of Beautiful Soup under Python 2."
421,,,"ImportError: No module named BeautifulSoup - Caused by running
Beautiful Soup 3 code in an environment that doesn't have BS3
installed. Or, by writing Beautiful Soup 4 code without knowing that
the package name has changed to bs4."
422,,,"ImportError: No module named bs4 - Caused by running Beautiful
Soup 4 code in an environment that doesn't have BS4 installed."
423,,,"By default, Beautiful Soup parses documents as HTML. To parse a
document as XML, pass in ""xml"" as the second argument to the
BeautifulSoup constructor:"
424,,,You'll need to have lxml installed.
425,,,"If your script works on one computer but not another, or in one
virtual environment but not another, or outside the virtual
environment but not inside, it's probably because the two
environments have different parser libraries available. For example,
you may have developed the script on a computer that has lxml
installed, and then tried to run it on a computer that only has
html5lib installed. See Differences between parsers for why this
matters, and fix the problem by mentioning a specific parser library
in the BeautifulSoup constructor."
426,,,"Because HTML tags and attributes are case-insensitive, all three HTML
parsers convert tag and attribute names to lowercase. That is, the
markup <TAG></TAG> is converted to <tag></tag>. If you want to
preserve mixed-case or uppercase tags and attributes, you'll need to
parse the document as XML."
427,,,"UnicodeEncodeError: 'charmap' codec can't encode character
'\xfoo' in position bar (or just about any other
UnicodeEncodeError) - This problem shows up in two main
situations. First, when you try to print a Unicode character that
your console doesn't know how to display. (See this page on the
Python wiki for help.)
Second, when you're writing to a file and you pass in a Unicode
character that's not supported by your default encoding. In this
case, the simplest solution is to explicitly encode the Unicode
string into UTF-8 with u.encode(""utf8"")."
428,,,"KeyError: [attr] - Caused by accessing tag['attr'] when the
tag in question doesn't define the attr attribute. The most
common errors are KeyError: 'href' and KeyError: 'class'.
Use tag.get('attr') if you're not sure attr is
defined, just as you would with a Python dictionary."
429,,,"AttributeError: 'ResultSet' object has no attribute 'foo' - This
usually happens because you expected find_all() to return a
single tag or string. But find_all() returns a list of tags
and strings—a ResultSet object. You need to iterate over the
list and look at the .foo of each one. Or, if you really only
want one result, you need to use find() instead of
find_all()."
430,,,"AttributeError: 'NoneType' object has no attribute 'foo' - This
usually happens because you called find() and then tried to
access the .foo attribute of the result. But in your case,
find() didn't find anything, so it returned None, instead of
returning a tag or a string. You need to figure out why your
find() call isn't returning anything."
431,,,"AttributeError: 'NavigableString' object has no attribute
'foo' - This usually happens because you're treating a string as
though it were a tag. You may be iterating over a list, expecting
that it contains nothing but tags, when it actually contains both tags and
strings."
432,,,"Beautiful Soup will never be as fast as the parsers it sits on top
of. If response time is critical, if you're paying for computer time
by the hour, or if there's any other reason why computer time is more
valuable than programmer time, you should forget about Beautiful Soup
and work directly atop lxml."
433,,,"That said, there are things you can do to speed up Beautiful Soup. If
you're not using lxml as the underlying parser, my advice is to
start. Beautiful Soup parses documents
significantly faster using lxml than using html.parser or html5lib."
434,,,"You can speed up encoding detection significantly by installing the
cchardet library."
435,,,"Parsing only part of a document won't save you much time parsing
the document, but it can save a lot of memory, and it'll make
searching the document much faster."
436,,,"New translations of the Beautiful Soup documentation are greatly
appreciated. Translations should be licensed under the MIT license,
just like Beautiful Soup and its English documentation are."
437,,,"There are two ways of getting your translation into the main code base
and onto the Beautiful Soup website:"
438,,,"Create a branch of the Beautiful Soup repository, add your
translation, and propose a merge with the main branch, the same
as you would do with a proposed change to the source code."
439,,,"Send a message to the Beautiful Soup discussion group with a link to
your translation, or attach your translation to the message."
440,,,"Use the Chinese or Brazilian Portuguese translations as your model. In
particular, please translate the source file doc/index.rst,
rather than the HTML version of the documentation. This makes it
possible to publish the documentation in a variety of formats, not
just HTML."
441,,,"Beautiful Soup 3 is the previous release series, and is no longer
supported. Development of Beautiful Soup 3 stopped in 2012, and the
package was completely discontinued in 2021. There's no reason to
install it unless you're trying to get very old software to work, but
it's published through PyPi as BeautifulSoup:"
442,,,$ pip install BeautifulSoup
443,,,"You can also download a tarball of the final release, 3.2.2."
444,,,"If you ran pip install beautifulsoup or pip install
BeautifulSoup, but your code doesn't work, you installed Beautiful
Soup 3 by mistake. You need to run pip install beautifulsoup4."
445,,,The documentation for Beautiful Soup 3 is archived online.
446,,,"Most code written against Beautiful Soup 3 will work against Beautiful
Soup 4 with one simple change. All you should have to do is change the
package name from BeautifulSoup to bs4. So this:"
447,,,becomes this:
448,,,"If you get the ImportError ""No module named BeautifulSoup"", your
problem is that you're trying to run Beautiful Soup 3 code, but you
only have Beautiful Soup 4 installed."
449,,,"If you get the ImportError ""No module named bs4"", your problem
is that you're trying to run Beautiful Soup 4 code, but you only
have Beautiful Soup 3 installed."
450,,,"Although BS4 is mostly backward-compatible with BS3, most of its
methods have been deprecated and given new names for PEP 8 compliance. There are numerous other
renames and changes, and a few of them break backward compatibility."
451,,,Here's what you'll need to know to convert your BS3 code and habits to BS4:
452,,,"Beautiful Soup 3 used Python's SGMLParser, a module that was
deprecated and removed in Python 3.0. Beautiful Soup 4 uses
html.parser by default, but you can plug in lxml or html5lib and
use that instead. See Installing a parser for a comparison."
453,,,"Since html.parser is not the same parser as SGMLParser, you
may find that Beautiful Soup 4 gives you a different parse tree than
Beautiful Soup 3 for the same markup. If you swap out html.parser
for lxml or html5lib, you may find that the parse tree changes yet
again. If this happens, you'll need to update your scraping code to
process the new tree."
454,,,"I renamed three attributes to avoid using words that have special
meaning to Python. Unlike my changes to method names (which you'll see
in the form of deprecation warnings), these changes did not
preserve backwards compatibility. If you used these attributes in
BS3, your code will break in BS4 until you change them."
455,,,UnicodeDammit.unicode -> UnicodeDammit.unicode_markup
456,,,Tag.next -> Tag.next_element
457,,,Tag.previous -> Tag.previous_element
458,,,"Some of the generators used to yield None after they were done, and
then stop. That was a bug. Now the generators just stop."
459,,,"There is no longer a BeautifulStoneSoup class for parsing XML. To
parse XML you pass in ""xml"" as the second argument to the
BeautifulSoup constructor. For the same reason, the
BeautifulSoup constructor no longer recognizes the isHTML
argument."
460,,,"Beautiful Soup's handling of empty-element XML tags has been
improved. Previously when you parsed XML you had to explicitly say
which tags were considered empty-element tags. The selfClosingTags
argument to the constructor is no longer recognized. Instead,
Beautiful Soup considers any empty tag to be an empty-element tag. If
you add a child to an empty-element tag, it stops being an
empty-element tag."
461,,,"An incoming HTML or XML entity is always converted into the
corresponding Unicode character. Beautiful Soup 3 had a number of
overlapping ways of dealing with entities, which have been
removed. The BeautifulSoup constructor no longer recognizes the
smartQuotesTo or convertEntities arguments. (Unicode,
Dammit still has smart_quotes_to, but its default is now to turn
smart quotes into Unicode.) The constants HTML_ENTITIES,
XML_ENTITIES, and XHTML_ENTITIES have been removed, since they
configure a feature (transforming some but not all entities into
Unicode characters) that no longer exists."
462,,,"If you want to turn Unicode characters back into HTML entities on
output, rather than turning them into UTF-8 characters, you need to
use an output formatter."
463,,,"Tag.string now operates recursively. If tag A
contains a single tag B and nothing else, then A.string is the same as
B.string. (Previously, it was None.)"
464,,,"Multi-valued attributes like class have lists of strings as
their values, not simple strings. This may affect the way you search by CSS
class."
465,,,"Tag objects now implement the __hash__ method, such that two
Tag objects are considered equal if they generate the same
markup. This may change your script's behavior if you put Tag
objects into a dictionary or set."
466,,,"If you pass one of the find* methods both string and
a tag-specific argument like name, Beautiful Soup will
search for tags that match your tag-specific criteria and whose
Tag.string matches your string
value. It will not find the strings themselves. Previously,
Beautiful Soup ignored the tag-specific arguments and looked for
strings."
467,,,"The BeautifulSoup constructor no longer recognizes the
markupMassage argument. It's now the parser's responsibility to
handle markup correctly."
468,,,"The rarely-used alternate parser classes like
ICantBelieveItsBeautifulSoup and BeautifulSOAP have been
removed. It's now the parser's decision how to handle ambiguous
markup."
469,,,"The prettify() method now returns a Unicode string, not a bytestring."
